t,xt,yt,vt,at
0.00,7.0710678118654755,-7.071067811865475,-0.0,-7.853981633974483
0.10,7.035741925769524,-7.106218090796887,-0.7840898208011107,-7.814744439821726
0.20,6.930117232058353,-7.209263148888926,-1.560345275298412,-7.6974249024373345
0.30,6.755249097756645,-7.373371659373888,-2.321010275586505,-7.503195239858172
0.40,6.512884747458621,-7.588302330977651,-3.0584845084249297,-7.233996130668941
0.50,6.205445805637456,-7.841711697920072,-3.765399375055735,-6.892517323383262
0.60,5.8360041005740255,-8.120409850375975,-4.434691615806534,-6.48217076136565
0.70,5.408250971664132,-8.4113507492848,-5.059673883846343,-6.007056491821245
0.80,4.9264603867754575,-8.702297860768281,-5.634101562944581,-5.471921699479436
0.90,4.395446238173415,-8.982207544213571,-6.152235161612244,-4.88211327429326
1.00,3.820514243700898,-9.241410656045892,-6.608897660203639,-4.2435243870824335
1.10,3.2074089337994245,-9.471669754134359,-6.999526237985397,-3.5625356069185448
1.20,2.56225625405986,-9.666170021706174,-7.320217863332959,-2.8459511485880293
1.30,1.8915023567990388,-9.81948159702047,-7.5677682915324125,-2.1009308871271966
1.40,1.2018491932366324,-9.927515223696032,-7.73970408053448,-1.3349188187176078
1.50,0.5001875498139293,-9.987482786719141,-7.834307304769866,-0.5555686827368861
1.60,-0.20647180226649303,-9.997868242523944,-7.850632720093682,0.2293325118751524
1.70,-0.9110681563491723,-9.958411259557748,-7.7885172083524745,1.011942291835784
1.80,-1.606561418572703,-9.87010437677098,-7.648581407206906,1.7844410789200407
1.90,-2.286002450160454,-9.735203788203943,-7.432223508925394,2.5391103206015257
2.00,-2.9426025009181447,-9.557253293786362,-7.141605290109158,3.2684096112778405
2.10,-3.5698010401817264,-9.341119875770648,-6.7796305119349975,3.965052033510845
2.20,-4.161331307471149,-9.093036992636755,-6.349915906733476,4.622076966496953
2.30,-4.711282927889565,-8.820646981564126,-5.856755040795002,5.232919634289335
2.40,-5.214160966635592,-8.533025572094214,-5.305075414474724,5.791476698869151
2.50,-5.664940832575456,-8.240658066163121,-4.700389228237799,6.292167242681535
2.60,-6.0591184822967,-7.955317920579324,-4.048738306574425,6.729988531319006
2.70,-6.392755423021118,-7.68977750662749,-3.3566337300867066,7.100565999189972
2.80,-6.662518064722698,-7.457268470240542,-2.630990778923555,7.400196958732092
2.90,-6.865711028257234,-7.270626663257232,-1.8790598375873224,7.625887596442449
3.00,-7.000304076699752,-7.141130361066154,-1.108353951488518,7.775382886072445
3.10,-7.064952400800761,-7.0771779385867895,-0.3265737590795458,7.847189120104672
3.20,-7.059010055875739,-7.0831050416498265,0.4584694503792167,7.840588834384664
3.30,-6.982536415870899,-7.158504396941918,1.2389317846396413,7.755647976785571
3.40,-6.8362955801183425,-7.298291768712349,2.0070151220443453,7.593215248278808
3.50,-6.621748738708118,-7.493493420389282,2.7550450277805765,7.354913622994495
3.60,-6.341039572759841,-7.732478072176713,3.4755474342960304,7.043124132000427
3.70,-5.996972835469549,-8.002269478756656,4.161323319711235,6.660962072826714
3.80,-5.592986327942908,-8.289662474156817,4.805520638066491,6.212245882442639
3.90,-5.133116549822937,-8.5820227502573,5.401702782700113,5.701458984696666
4.00,-4.621958367919878,-8.867778799971017,5.9439128986945375,5.1337049934273775
4.10,-4.064619105820871,-9.13667726936855,6.4267334018015845,4.514656718841015
4.20,-3.466667513200945,-9.379883600179545,6.845340109153449,3.8504994866670925
4.30,-2.83407812471704,-9.589994847913127,7.195550440903249,3.147869336428299
4.40,-2.1731715644326384,-9.761010467750836,7.473865211180288,2.413786716327173
4.50,-1.490551392231437,-9.888288858397944,7.677503590798587,1.6555863372483124
4.60,-0.7930381232298422,-9.968504929782805,7.804430892382901,0.8808438867517494
4.70,-0.08760107944448559,-9.99961629518254,7.853378900292384,0.09730033530704014
4.80,0.6187112453696134,-9.980841467273848,7.823858542212069,-0.6872154089248425
4.90,1.3188416119387256,-9.912651350805135,7.716164775801757,-1.4648647239539603
5.00,2.005794549072422,-9.79677437868768,7.531373641576597,-2.2278775948812295
5.10,2.672706250099313,-9.636215092072202,7.271331511465936,-2.968630249318866
5.20,3.312913153754437,-9.435285180410862,6.938636640475343,-3.679721331604003
5.30,3.920018524280738,-9.199644274062768,6.5366132057814506,-4.354045854697907
5.40,4.487956365498272,-8.936344200028529,6.069278092652444,-4.9848661908678755
5.50,5.011052030232883,-8.653863735366931,5.541300759058255,-5.565879391836379
5.60,5.484078919514979,-8.362109686229392,4.957956579990056,-6.091280165756767
5.70,5.902310705028758,-8.07234342315185,4.325074137657148,-6.555818881770436
5.80,6.26156855302241,-7.7969711590976685,3.648976984220199,-6.954854022583058
5.90,6.5582628778336405,-7.549118360790829,2.936420458948346,-7.284398560971117
